num_players,num_rounds,round_index,pairs
20,20,4,"(0,6);(1,16);(2,8);(3,17);(4,7);(5,12);(9,14);(10,15)"
20,20,5,"(1,17);(2,7);(5,16);(6,11);(8,14);(10,12);(13,18);(15,19)"
20,20,6,"(0,9);(2,3);(4,18);(6,14);(8,15);(10,13);(11,19);(16,17)"
20,20,7,"(0,10);(1,15);(2,19);(3,14);(5,17);(6,8);(9,16);(12,18)"
20,20,8,"(0,14);(1,7);(2,15);(3,18);(4,9);(6,19);(10,11);(13,17)"
20,20,9,"(0,18);(2,9);(3,11);(4,19);(5,15);(6,16);(7,8);(13,14)"
20,20,10,"(0,11);(1,12);(2,4);(5,19);(9,17);(10,16);(13,15);(14,18)"
20,20,11,"(0,15);(1,2);(3,4);(5,7);(8,18);(9,12);(10,14);(17,19)"
20,20,12,"(0,13);(1,18);(2,17);(3,8);(4,11);(7,16);(12,19);(14,15)"
20,20,13,"(0,17);(1,9);(2,10);(3,16);(5,13);(6,12);(7,18);(8,19)"
20,20,14,"(0,19);(2,16);(3,15);(4,17);(5,6);(7,10);(8,13);(11,12)"
20,20,15,"(0,16);(1,14);(3,5);(6,15);(7,11);(8,10);(9,18);(12,13)"
20,20,16,"(1,13);(2,11);(4,16);(5,14);(6,17);(8,9);(10,19);(12,15)"
20,20,17,"(2,5);(3,13);(4,12);(6,18);(7,15);(9,10);(11,17);(14,19)"
20,20,18,"(1,4);(2,12);(3,19);(6,9);(7,13);(8,11);(14,17);(16,18)"
20,20,19,"(0,12);(1,19);(3,6);(4,10);(5,8);(7,17);(9,15);(11,18)"
21,21,0,"(0,6);(2,3);(4,7);(8,13);(9,19);(10,15);(11,12);(16,20)"
21,21,1,"(0,5);(2,17);(3,10);(4,8);(6,19);(7,11);(9,16);(13,14)"
21,21,2,"(0,8);(1,2);(6,9);(7,19);(10,16);(11,18);(13,20);(14,15)"
21,21,3,"(1,5);(4,13);(6,12);(7,10);(8,16);(9,18);(11,15);(17,19)"
21,21,4,"(0,10);(1,12);(2,20);(3,15);(5,13);(6,14);(7,17);(8,9)"
21,21,5,"(0,7);(1,4);(3,8);(5,16);(9,14);(10,11);(12,19);(13,15)"
